AM,64
DD,1339
EM,236
GG,6155
OB,2696
PA,2023
P神,82
SV,159
TB,1936
TM,1009
TP,858
TV,52
cd,219
ok,360
p神,116
sv,197
tb,1747
tm,441
tp,775
……,12825
一样,9147
一波,6004
一般,1138
上去,1839
上路,188
上高,388
下路,323
不亏,449
不够,3554
东尼,2235
两个,10381
中单,1144
中期,1288
中路,684
为啥,3470
之前,2185
也太,1577
买活,635
人家,8286
人马,628
什么,69246
今天,24593
今晚,7351
他们,9298
仙仙,1040
代打,523
代练,3382
以前,2540
休息,2321
优势,720
伤害,11503
估计,3195
你们,22479
倒影,56
假腿,99
傻雕,201
僵硬,393
元旦,117
兄弟,8767
先手,455
光环,708
全部,2999
全锅,80
其实,2820
兽王,10403
军团,317
冠军,2895
冰甲,34
冰眼,136
冲脸,84
决斗,328
准备,6407
凤凰,556
出装,418
出门,7208
刃甲,795
分身,413
刘神,230
刚刚,4796
刚才,5336
刚背,109
刚被,1262
刷野,142
刷钱,442
刺激,3155
前期,3897
剑圣,9879
半仙,91
单排,2480
单杀,681
卡尔,3752
卧底,1973
卧槽,27291
厉害,24623
双倍,210
双刀,184
反正,1533
反补,174
只有,3979
只能,2996
可以,60166
吃树,54
吃牛,651
吃锅,100
各种,232
后期,5409
吸血,1310
唯一,1173
喜欢,8923
喷子,1433
四个,394
回去,424
回来,3183
团战,216
团灭,273
国土,335
圣剑,1308
垃圾,14320
基地,763
多少,14387
大招,1942
大气,4527
大炮,1230
大电,87
天台,689
天堂,193
天怒,141
天梯,936
天赋,786
失误,471
女王,11037
奶酪,70
好像,3236
好惨,665
好狠,4066
好蠢,2899
妹妹,23743
妹酱,28
完美,2770
宝贝,2415
对线,565
对面,7483
小Y,1040
小刘,6819
小腿,637
小鱼,1469
小黑,8392
尴尬,1316
尸王,714
局势,263
峰哥,61020
巨龙,7423
差点,1317
已经,16509
带线,226
幻想,184
幻象,203
应该,9281
废物,78961
建议,3576
开始,15832
弹幕,20790
强行,913
强袭,1531
心情,498
心疼,2135
必须,2884
怎么,51776
意思,10984
感觉,13113
或者,1698
戴泽,989
房管,6868
手机,5619
打架,321
技能,9902
抄袭,4834
抓着,290
投票,108
护腕,74
抽奖,13868
拉满,2200
拉野,187
拍拍,1063
指挥,410
排名,561
接锅,159
控制,1228
掩护,2402
提前,2263
撒旦,346
操作,3200
攻击,1502
攻速,604
敌法,7381
教练,478
斗鱼,14587
斯文,427
斯温,35
无敌,12662
无限,2005
早点,393
时间,7485
明显,631
昨天,6871
晚上,2815
暂停,238
暗牧,290
暗示,16123
最近,1173
有点,8671
木叶,1259
枫哥,20475
核桃,2080
毒狗,307
毒瘤,329
毒龙,3505
比赛,7947
水人,3079
永远,682
沉江,1532
沉默,1156
没用,6844
泉水,385
流浪,240
海明,883
海民,3053
游戏,21970
演员,549
潮汐,9976
火枪,4164
火鸡,70
灵性,91
炸裂,303
点金,2346
烙呢,1420
牛肉,931
牛逼,20671
状态,522
狼人,3612
猛犸,1509
猪皇,114
猴子,250
现在,29682
甩锅,451
电棍,3226
电魂,5632
疯狂,3490
疯脸,400
白牛,33
白给,1602
白送,58
皮鞋,4053
直接,17255
直播,26940
相位,185
看到,5919
看着,2502
真的,28332
矮子,365
确实,2750
祭品,217
稳定,238
第一,25035
等于,1481
等级,1193
米波,107
粗糙,229
精致,519
线上,144
终于,5530
经济,3648
绝活,1849
继续,7506
羁绊,570
翻盘,563
老子,440
老逼,6343
肉山,240
肉搏,304
肯定,10494
背锅,864
胖头,14466
胜率,120
脸上,140
自己,30587
舒服,21275
舔狗,6939
船长,6213
节奏,7158
芒果,271
芬队,138
英雄,2786
莱恩,131
莲花,626
萌马,123
萨尔,10860
蓝猫,749
蓝胖,5102
薄葬,47
虚空,1065
蝙蝠,6971
蝴蝶,410
血亏,1617
血克,379
血崩,123
血炸,31
血赚,1174
血魔,101
补刀,924
被动,750
装备,16476
谢彬,542
谢斌,975
赶紧,6923
跟着,162
跨年,737
车队,1935
辅助,672
辉耀,841
输出,10293
过去,371
近战,240
还行,4358
这把,7867
这样,7539
这种,3292
连胜,2490
追梦,829
追着,46
逛街,224
那么,5805
那波,106
那边,390
配合,271
酒仙,305
酱油,1383
野区,300
野怪,958
钢背,181
问题,4117
队友,4732
阵容,4349
难受,6626
